IDCODE,EXPERIMENT TYPE
100D,X-RAY DIFFRACTION
101D,X-RAY DIFFRACTION
101M,X-RAY DIFFRACTION
102D,X-RAY DIFFRACTION
102L,X-RAY DIFFRACTION
102M,X-RAY DIFFRACTION
103D,SOLUTION NMR
103L,X-RAY DIFFRACTION
103M,X-RAY DIFFRACTION
104D,SOLUTION NMR
104L,X-RAY DIFFRACTION
104M,X-RAY DIFFRACTION
105D,SOLUTION NMR
105M,X-RAY DIFFRACTION
106D,SOLUTION NMR
106M,X-RAY DIFFRACTION
107D,SOLUTION NMR
107L,X-RAY DIFFRACTION
107M,X-RAY DIFFRACTION
108D,SOLUTION NMR
108L,X-RAY DIFFRACTION
108M,X-RAY DIFFRACTION
109D,X-RAY DIFFRACTION
109L,X-RAY DIFFRACTION
109M,X-RAY DIFFRACTION
10GS,X-RAY DIFFRACTION
10MH,X-RAY DIFFRACTION
110D,X-RAY DIFFRACTION
110L,X-RAY DIFFRACTION
110M,X-RAY DIFFRACTION
111D,X-RAY DIFFRACTION
111L,X-RAY DIFFRACTION
111M,X-RAY DIFFRACTION
112D,X-RAY DIFFRACTION
112L,X-RAY DIFFRACTION
112M,X-RAY DIFFRACTION
113D,X-RAY DIFFRACTION
113L,X-RAY DIFFRACTION
114D,X-RAY DIFFRACTION
114L,X-RAY DIFFRACTION
115D,X-RAY DIFFRACTION
115L,X-RAY DIFFRACTION
116D,X-RAY DIFFRACTION
117D,X-RAY DIFFRACTION
117E,X-RAY DIFFRACTION
118D,X-RAY DIFFRACTION
118L,X-RAY DIFFRACTION
119D,X-RAY DIFFRACTION
119L,X-RAY DIFFRACTION
11AS,X-RAY DIFFRACTION
11BA,X-RAY DIFFRACTION
11BG,X-RAY DIFFRACTION
11GS,X-RAY DIFFRACTION
120L,X-RAY DIFFRACTION
121D,X-RAY DIFFRACTION
121P,X-RAY DIFFRACTION
122D,X-RAY DIFFRACTION
122L,X-RAY DIFFRACTION
123D,X-RAY DIFFRACTION
123L,X-RAY DIFFRACTION
124D,SOLUTION NMR
125L,X-RAY DIFFRACTION
126D,X-RAY DIFFRACTION
126L,X-RAY DIFFRACTION
